statistic ,month_text,agricultural_product,value
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Milk,104.27
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Energy,111.94
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Fertilisers,105.07
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Compound feeding stuffs,100.36
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Milk,105.56
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Energy,108.89
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Fertilisers,102.51
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Compound feeding stuffs,98.61
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Milk,98.89
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Energy,105.1
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Fertilisers,102.07
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Compound feeding stuffs,98.94
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Milk,94.93
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Energy,97.38
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Fertilisers,102.02
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Compound feeding stuffs,99.92
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Milk,95.98
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Energy,93.41
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Fertilisers,101.13
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Compound feeding stuffs,100.16
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Milk,98.81
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Energy,95.92
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Fertilisers,100.01
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Compound feeding stuffs,100.38
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Milk,100.2
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Energy,98.04
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Fertilisers,98.84
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Compound feeding stuffs,100.33
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Milk,100.78
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Energy,98.14
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Fertilisers,98.45
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Compound feeding stuffs,99.48
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Milk,102.31
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Energy,97.02
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Fertilisers,97.53
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Compound feeding stuffs,99.3
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Milk,103.91
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Energy,98.2
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Fertilisers,97.57
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Compound feeding stuffs,99.72
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Milk,104.35
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Energy,98.42
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Fertilisers,97.46
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Compound feeding stuffs,100.78
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Milk,104.46
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Energy,97.54
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Fertilisers,97.34
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Compound feeding stuffs,102.02
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Milk,104.41
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Energy,100.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Fertilisers,97.74
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Compound feeding stuffs,103.57
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Milk,111.01
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Energy,103.01
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Fertilisers,101.47
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Compound feeding stuffs,105.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Milk,113.94
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Energy,107.9
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Fertilisers,106.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Compound feeding stuffs,106.32
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Milk,113.48
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Energy,109.11
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Fertilisers,110.14
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Compound feeding stuffs,108.12
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Milk,115.6
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Energy,111.31
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Fertilisers,114.65
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Compound feeding stuffs,109.97
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Milk,115.37
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Energy,112.52
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Fertilisers,115.9
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Compound feeding stuffs,110.89
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Milk,114.93
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Energy,115.84
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Fertilisers,118.03
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Compound feeding stuffs,111.8
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Milk,115.88
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Energy,117.92
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Fertilisers,121.59
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Compound feeding stuffs,111.89
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Milk,118.58
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Energy,119.42
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Fertilisers,127.26
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Compound feeding stuffs,114.4
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Milk,121.91
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Energy,128.24
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Fertilisers,148.54
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Compound feeding stuffs,116.12
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Milk,127.43
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Energy,132.17
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Fertilisers,151.18
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Compound feeding stuffs,117.86
Agricultural Input and Output Price Indices (Base 2020=100),2021 December,Milk,132.78
