statistic,month_text,coicop_item,value
Consumer Price Index,2020 January,"Milk, cheese and eggs",80.5
Consumer Price Index,2020 January,Fresh whole milk,77.5
Consumer Price Index,2020 January,Yoghurt,77.3
Consumer Price Index,2020 January,Cheese and curd,86.1
Consumer Price Index,2020 January,Eggs,80.6
Consumer Price Index,2020 February,"Milk, cheese and eggs",80.7
Consumer Price Index,2020 February,Fresh whole milk,77.5
Consumer Price Index,2020 February,Yoghurt,77.9
Consumer Price Index,2020 February,Cheese and curd,87.4
Consumer Price Index,2020 February,Eggs,79.1
Consumer Price Index,2020 March,"Milk, cheese and eggs",80.7
Consumer Price Index,2020 March,Fresh whole milk,77.6
Consumer Price Index,2020 March,Yoghurt,80
Consumer Price Index,2020 March,Cheese and curd,84.5
Consumer Price Index,2020 March,Eggs,79.8
Consumer Price Index,2020 April,"Milk, cheese and eggs",80.7
Consumer Price Index,2020 April,Fresh whole milk,77.6
Consumer Price Index,2020 April,Yoghurt,80.2
Consumer Price Index,2020 April,Cheese and curd,83.9
Consumer Price Index,2020 April,Eggs,79.1
Consumer Price Index,2020 May,"Milk, cheese and eggs",80.6
Consumer Price Index,2020 May,Fresh whole milk,77.6
Consumer Price Index,2020 May,Yoghurt,80
Consumer Price Index,2020 May,Cheese and curd,83.7
Consumer Price Index,2020 May,Eggs,79.1
Consumer Price Index,2020 June,"Milk, cheese and eggs",80.5
Consumer Price Index,2020 June,Fresh whole milk,77.4
Consumer Price Index,2020 June,Yoghurt,80.1
Consumer Price Index,2020 June,Cheese and curd,82.5
Consumer Price Index,2020 June,Eggs,80.4
Consumer Price Index,2020 July,"Milk, cheese and eggs",81.1
Consumer Price Index,2020 July,Fresh whole milk,77.5
Consumer Price Index,2020 July,Yoghurt,83
Consumer Price Index,2020 July,Cheese and curd,82.5
Consumer Price Index,2020 July,Eggs,80.6
Consumer Price Index,2020 August,"Milk, cheese and eggs",80.9
Consumer Price Index,2020 August,Fresh whole milk,77.5
Consumer Price Index,2020 August,Yoghurt,81.7
Consumer Price Index,2020 August,Cheese and curd,82.7
Consumer Price Index,2020 August,Eggs,80.6
Consumer Price Index,2020 September,"Milk, cheese and eggs",79.8
Consumer Price Index,2020 September,Fresh whole milk,77.5
Consumer Price Index,2020 September,Yoghurt,77.2
Consumer Price Index,2020 September,Cheese and curd,82.5
Consumer Price Index,2020 September,Eggs,80.5
Consumer Price Index,2020 October,"Milk, cheese and eggs",80.3
Consumer Price Index,2020 October,Fresh whole milk,77.4
Consumer Price Index,2020 October,Yoghurt,79.9
Consumer Price Index,2020 October,Cheese and curd,82
Consumer Price Index,2020 October,Eggs,80.5
Consumer Price Index,2020 November,"Milk, cheese and eggs",80.6
Consumer Price Index,2020 November,Fresh whole milk,77.4
Consumer Price Index,2020 November,Yoghurt,81.8
Consumer Price Index,2020 November,Cheese and curd,81.6
Consumer Price Index,2020 November,Eggs,80.4
Consumer Price Index,2020 December,"Milk, cheese and eggs",81.7
Consumer Price Index,2020 December,Fresh whole milk,77.4
Consumer Price Index,2020 December,Yoghurt,84.9
Consumer Price Index,2020 December,Cheese and curd,83.1
Consumer Price Index,2020 December,Eggs,80.4
Consumer Price Index,2021 January,"Milk, cheese and eggs",80.4
Consumer Price Index,2021 January,Fresh whole milk,77.4
Consumer Price Index,2021 January,Yoghurt,78.9
Consumer Price Index,2021 January,Cheese and curd,83.3
Consumer Price Index,2021 January,Eggs,80.1
Consumer Price Index,2021 February,"Milk, cheese and eggs",80.4
Consumer Price Index,2021 February,Fresh whole milk,77.4
Consumer Price Index,2021 February,Yoghurt,80.8
Consumer Price Index,2021 February,Cheese and curd,82.2
Consumer Price Index,2021 February,Eggs,79.5
Consumer Price Index,2021 March,"Milk, cheese and eggs",80.6
Consumer Price Index,2021 March,Fresh whole milk,77.4
Consumer Price Index,2021 March,Yoghurt,81.6
Consumer Price Index,2021 March,Cheese and curd,82.2
Consumer Price Index,2021 March,Eggs,79.7
Consumer Price Index,2021 April,"Milk, cheese and eggs",80.4
Consumer Price Index,2021 April,Fresh whole milk,77.4
Consumer Price Index,2021 April,Yoghurt,80.7
Consumer Price Index,2021 April,Cheese and curd,82.1
Consumer Price Index,2021 April,Eggs,79.4
Consumer Price Index,2021 May,"Milk, cheese and eggs",80.4
Consumer Price Index,2021 May,Fresh whole milk,77.4
Consumer Price Index,2021 May,Yoghurt,80.9
Consumer Price Index,2021 May,Cheese and curd,83.2
Consumer Price Index,2021 May,Eggs,78.6
Consumer Price Index,2021 June,"Milk, cheese and eggs",80.4
Consumer Price Index,2021 June,Fresh whole milk,77.4
Consumer Price Index,2021 June,Yoghurt,80.3
Consumer Price Index,2021 June,Cheese and curd,82.4
Consumer Price Index,2021 June,Eggs,79.3
Consumer Price Index,2021 July,"Milk, cheese and eggs",81
Consumer Price Index,2021 July,Fresh whole milk,77.7
Consumer Price Index,2021 July,Yoghurt,82.5
Consumer Price Index,2021 July,Cheese and curd,82.7
Consumer Price Index,2021 July,Eggs,79.6
Consumer Price Index,2021 August,"Milk, cheese and eggs",80.6
Consumer Price Index,2021 August,Fresh whole milk,77.7
Consumer Price Index,2021 August,Yoghurt,80.7
Consumer Price Index,2021 August,Cheese and curd,82.9
Consumer Price Index,2021 August,Eggs,79.2
Consumer Price Index,2021 September,"Milk, cheese and eggs",80.5
Consumer Price Index,2021 September,Fresh whole milk,77.7
Consumer Price Index,2021 September,Yoghurt,81
